respondent_id,company_size,tech_company,benefits,mh_options_known,boss_mh_discuss,resources,anonymity_protected,leave_easy,bad_conseq_mh_boss,bad_conseq_ph_boss,mh_comfort_coworkers,mh_comfort_supervisor,mh_ph_boss_serious,observed_mhdcoworker_bad_conseq,prev_boss,prev_benefits,prev_mh_options_known,prev_boss_mh_discuss,prev_resources,prev_anonymity_protected,bad_conseq_mh_prev_boss,bad_conseq_ph_prev_boss,mh_comfort_prev_coworkers,mh_comfort_prev_supervisor,mh_ph_prev_boss_serious,prev_observed_bad_conseq_mh,ph_interview,mh_interview,friends_family_mhd_comfort,ever_observed_mhd_bad_response,mhdcoworker_you_not_reveal,mh_family_history,remote_work
946,6-25,1,I don't know,No,Yes,No,Yes,Somewhat difficult,Yes,Yes,No,No,No,1,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,Somewhat open,"Yes, I observed",Yes,Yes,Never
947,100-500,0,I don't know,Yes,Yes,Yes,I don't know,Somewhat difficult,Yes,Maybe,No,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,No,Somewhat open,No,Not applicable,Yes,Sometimes
948,6-25,1,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,No,No,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,Somewhat open,No response,No response,I don't know,Never
949,6-25,1,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,Maybe,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,Maybe,Somewhat not open,No,Not applicable,Yes,Never
950,100-500,1,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe,Maybe,No,No,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,Somewhat not open,Maybe/Not sure,Yes,No,Never
951,6-25,1,No,Not applicable,No,No,I don't know,Very easy,No,No,Maybe,Maybe,Yes,0,1,Some did,I was aware of some,None did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Very open,No,Not applicable,Yes,Always
952,26-100,1,Yes,No,No,I don't know,I don't know,Very difficult,Maybe,No,No,No,I don't know,0,1,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,Yes,Never
953,26-100,0,I don't know,No,Yes,Yes,I don't know,Somewhat difficult,Maybe,No,Maybe,No,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,Yes,Sometimes
954,More than 1000,1,Yes,Yes,I don't know,I don't know,No,Somewhat easy,No,No,Yes,Yes,Yes,0,1,"Yes, they all did",I was aware of some,None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Very open,No,Not applicable,Yes,Sometimes
955,100-500,1,Yes,No,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,0,1,Some did,I was aware of some,None did,None did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Somewhat open,No,Not applicable,No,Always
956,26-100,0,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,Maybe,I don't know,0,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Very open,No response,No response,Yes,Never
957,500-1000,1,Yes,Yes,I don't know,I don't know,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,Very open,"Yes, I experienced",Maybe,Yes,Sometimes
958,26-100,1,I don't know,No,No,No,I don't know,Neither easy nor difficult,No,No,No,No,No,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Somewhat not open,"Yes, I observed",Maybe,No,Never
959,26-100,1,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,Very open,No response,No response,Yes,Always
960,100-500,1,Yes,I am not sure,I don't know,Yes,No,Somewhat easy,Maybe,Maybe,Maybe,No,I don't know,1,1,"No, none did","Yes, I was aware of all of them",None did,None did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Very open,"Yes, I observed",Yes,No,Always
961,26-100,1,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No,Maybe,Maybe,I don't know,0,1,Some did,"No, I only became aware later",None did,Some did,I don't know,None of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,No,Somewhat open,Maybe/Not sure,No,No,Never
962,More than 1000,0,I don't know,No,Yes,Yes,I don't know,Somewhat easy,Maybe,Maybe,No,No,Yes,0,1,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,Neutral,No,Not applicable,No,Sometimes
963,500-1000,1,Yes,Yes,No,I don't know,Yes,Neither easy nor difficult,Maybe,Maybe,Maybe,No,No,0,1,Some did,I was aware of some,None did,Some did,Sometimes,"Yes, all of them","Yes, all of them",Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,Somewhat open,"Yes, I observed",Yes,I don't know,Sometimes
964,26-100,1,Yes,Yes,No,No,Yes,Neither easy nor difficult,No,No,Yes,Yes,I don't know,0,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Maybe,No,Very open,No,Not applicable,I don't know,Always
965,6-25,1,No,Not applicable,No,No,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Somewhat not open,No,Not applicable,Yes,Sometimes
966,26-100,1,I don't know,I am not sure,I don't know,I don't know,I don't know,Neither easy nor difficult,No,Maybe,Yes,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",Some did,None of them,Yes,Yes,Very open,No,Not applicable,No,Sometimes
967,More than 1000,0,Yes,Yes,I don't know,Yes,Yes,Neither easy nor difficult,No,No,Yes,Yes,I don't know,0,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,No,Very open,Maybe/Not sure,No response,I don't know,Never
968,26-100,1,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,No,No,Maybe,Maybe,I don't know,0,1,Some did,I was aware of some,Some did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Somewhat open,No,Not applicable,Yes,Always
969,26-100,1,Yes,Yes,No,I don't know,I don't know,Very easy,Maybe,No,Maybe,Maybe,Yes,0,1,Some did,I was aware of some,Some did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",I don't know,Some of them,No,No,Very open,Maybe/Not sure,No response,Yes,Sometimes
970,6-25,1,Yes,No,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,Yes,0,1,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,No,Maybe,Somewhat open,"Yes, I observed",No,Yes,Always
971,26-100,1,No,Not applicable,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,0,1,Some did,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Not open at all,"Yes, I observed",Yes,I don't know,Never
972,500-1000,1,Not eligible for coverage / N/A,Not applicable,Yes,No,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Yes,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,Somewhat not open,No,Not applicable,No,Always
973,100-500,0,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,I don't know,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Yes,Very open,No,Not applicable,Yes,Sometimes
974,26-100,1,Yes,Yes,No,No,Yes,Somewhat easy,Maybe,No,Maybe,Yes,Yes,0,1,Some did,"No, I only became aware later",None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,Maybe,Somewhat open,No,Not applicable,Yes,Always
975,100-500,1,Yes,Yes,No,No,Yes,Somewhat easy,Maybe,Maybe,Maybe,Yes,I don't know,0,1,Some did,"No, I only became aware later",None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,Very open,"Yes, I experienced",Maybe,Yes,Always
976,100-500,1,Yes,Yes,I don't know,Yes,Yes,Somewhat difficult,Maybe,Maybe,Maybe,Yes,Yes,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,Maybe,Somewhat not open,Maybe/Not sure,Maybe,Yes,Always
977,100-500,1,Yes,Yes,No,No,I don't know,I don't know,Yes,No,Maybe,Maybe,No,0,1,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,Sometimes,"Yes, all of them","Yes, all of them",Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,No,Somewhat open,"Yes, I observed",Yes,Yes,Always
978,26-100,1,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,No,No,No,I don't know,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,Somewhat not open,No,Not applicable,Yes,Sometimes
979,26-100,1,Yes,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,No,Maybe,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Maybe,Somewhat open,Maybe/Not sure,No,Yes,Sometimes
980,More than 1000,1,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,No,No,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,No,Not applicable to me (I do not have a mental illness),Maybe/Not sure,No response,No,Sometimes
981,6-25,1,Not eligible for coverage / N/A,Not applicable,No,No,I don't know,Very difficult,Maybe,No,No,No,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,"Yes, all of them",Maybe,No,Not open at all,"Yes, I observed",Yes,Yes,Sometimes
982,26-100,1,Yes,No,No,I don't know,I don't know,Very easy,No,No,Maybe,Yes,Yes,0,1,Some did,I was aware of some,None did,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,I don't know,Sometimes
983,26-100,1,No,Not applicable,No,No,No,Somewhat difficult,Maybe,Maybe,No,No,No,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,No,Not applicable to me (I do not have a mental illness),No response,No response,I don't know,Never
984,100-500,1,No,Not applicable,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,No,0,1,"Yes, they all did",I was aware of some,I don't know,"Yes, they all did",I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Not applicable to me (I do not have a mental illness),Maybe/Not sure,Maybe,No,Never
985,100-500,1,I don't know,No,No,No,I don't know,Very easy,Maybe,No,Maybe,Maybe,I don't know,0,1,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,No,No,Very open,"Yes, I experienced",No,No,Sometimes
986,100-500,1,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No,Maybe,Maybe,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,None did,None of them,Yes,Maybe,Somewhat open,No,Not applicable,No,Always
987,6-25,1,I don't know,No,No,No,Yes,Somewhat easy,Yes,Yes,Yes,Yes,No,0,1,"No, none did","No, I only became aware later",None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Somewhat open,"Yes, I experienced",No,Yes,Never
988,26-100,1,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,Maybe,Somewhat not open,Maybe/Not sure,No response,Yes,Never
989,More than 1000,1,Yes,Yes,No,No,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,0,1,Some did,I was aware of some,None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,No,Sometimes
990,26-100,1,I don't know,No,No,I don't know,Yes,Somewhat easy,Maybe,Maybe,Maybe,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Very open,No,Not applicable,Yes,Sometimes
991,100-500,0,Yes,No,Yes,I don't know,Yes,Very easy,No,No,Maybe,Yes,Yes,0,1,I don't know,"No, I only became aware later",None did,None did,"Yes, always",Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Yes,Maybe,Somewhat open,No,Not applicable,No,Sometimes
992,6-25,1,No,Not applicable,No,No,I don't know,I don't know,Yes,No,No,No,I don't know,1,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,No,Sometimes
993,More than 1000,1,Yes,Yes,No,Yes,I don't know,Very easy,Maybe,No,Maybe,No,I don't know,0,1,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,No,Somewhat open,No,Not applicable,Yes,Sometimes
994,26-100,0,No,Not applicable,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,0,1,"No, none did","Yes, I was aware of all of them",None did,None did,No,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Somewhat not open,No response,No response,I don't know,Never
995,100-500,1,No,Not applicable,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,No,Somewhat open,"Yes, I experienced",Maybe,I don't know,Never
996,More than 1000,0,I don't know,I am not sure,No,No,No,Somewhat difficult,Yes,Maybe,No,No,No,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,No,Sometimes
997,6-25,1,No,Not applicable,No,No,I don't know,Very easy,No,No,Maybe,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Yes,Not applicable to me (I do not have a mental illness),Maybe/Not sure,No response,Yes,Sometimes
998,100-500,0,Yes,Yes,No,Yes,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,"Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,No,Somewhat open,No,Not applicable,Yes,Sometimes
999,1-5,1,No,Not applicable,No,No,I don't know,Very easy,Maybe,Maybe,No,No,I don't know,1,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Neutral,No,Not applicable,No,Never
1000,More than 1000,1,Not eligible for coverage / N/A,Not applicable,I don't know,I don't know,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Somewhat open,No,Not applicable,No,Sometimes
1001,More than 1000,0,Yes,Yes,Yes,No,Yes,Somewhat difficult,Maybe,No,Maybe,Yes,No,0,1,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Maybe,Somewhat open,No,Not applicable,Yes,Sometimes
1002,6-25,1,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,Maybe,No,Somewhat open,No,Not applicable,Yes,Sometimes
1003,26-100,1,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,0,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Very open,No,Not applicable,Yes,Sometimes
1004,More than 1000,1,Yes,I am not sure,Yes,No,Yes,Somewhat difficult,Yes,No,Yes,Yes,No,1,1,"No, none did",I was aware of some,None did,None did,No,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Yes,No,Very open,"Yes, I experienced",Yes,Yes,Sometimes
1005,100-500,1,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No,Yes,Yes,I don't know,0,1,Some did,I was aware of some,Some did,Some did,I don't know,None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,Some did,None of them,No,No,Somewhat open,No,Not applicable,No,Sometimes
1006,500-1000,0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,No,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Yes,No,Somewhat open,No,Not applicable,Yes,Sometimes
1007,6-25,1,No,Not applicable,No,No,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Neutral,No,Not applicable,Yes,Sometimes
1008,1-5,1,Not eligible for coverage / N/A,Not applicable,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Always
1009,6-25,1,Not eligible for coverage / N/A,Not applicable,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,No,Very open,"Yes, I experienced",No response,Yes,Sometimes
1010,26-100,0,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No,No,Maybe,No,0,1,Some did,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,No,Somewhat not open,Maybe/Not sure,Maybe,Yes,Never
1011,More than 1000,1,Yes,No,No,I don't know,I don't know,I don't know,No,No,No,No,I don't know,0,1,"Yes, they all did",I was aware of some,None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,No,No,Somewhat not open,Maybe/Not sure,No response,No,Always
1012,26-100,1,Yes,No,No,No,I don't know,Very difficult,Yes,No,Maybe,No,I don't know,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Yes,No,Somewhat not open,"Yes, I observed",Yes,Yes,Sometimes
1013,More than 1000,0,Not eligible for coverage / N/A,Not applicable,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,No,I don't know,0,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,Very open,"Yes, I observed",Yes,I don't know,Never
1014,More than 1000,0,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,Yes,No,No,No,0,1,"Yes, they all did","Yes, I was aware of all of them",Some did,None did,"Yes, always","Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Somewhat open,"Yes, I observed",No,Yes,Sometimes
1015,26-100,0,No,Not applicable,No,No,Yes,I don't know,No,No,Yes,Yes,Yes,0,1,"No, none did","No, I only became aware later",None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,No,Never
1016,6-25,1,No,Not applicable,No,No,I don't know,I don't know,Maybe,Maybe,No,No,No,0,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",None of them,Yes,Yes,Somewhat open,No,Not applicable,No,Sometimes
1017,More than 1000,1,Yes,Yes,No,I don't know,I don't know,Very difficult,Maybe,No,Maybe,No,No,0,1,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, they all did",I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Very open,No,Not applicable,Yes,Always
1018,26-100,1,Yes,No,Yes,No,Yes,Very easy,No,No,Maybe,Yes,Yes,0,1,Some did,I was aware of some,None did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,Somewhat not open,Maybe/Not sure,No,Yes,Sometimes
1019,6-25,1,Not eligible for coverage / N/A,Not applicable,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,No,Somewhat not open,No response,No response,I don't know,Never
1020,More than 1000,1,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe,No,No,I don't know,0,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,I don't know,Some of them,Maybe,No,Not open at all,Maybe/Not sure,Yes,Yes,Sometimes
1021,100-500,1,Yes,Yes,No,No,I don't know,Somewhat easy,Maybe,No,No,Maybe,I don't know,0,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Somewhat open,Maybe/Not sure,No response,I don't know,Sometimes
1022,26-100,1,No,Not applicable,No,No,I don't know,Somewhat easy,No,No,Maybe,No,I don't know,0,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,No,Neutral,No,Not applicable,No,Sometimes
1023,100-500,1,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,No,Maybe,Yes,0,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,Somewhat not open,Maybe/Not sure,Yes,Yes,Sometimes
1024,6-25,1,Yes,No,Yes,I don't know,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,Maybe,Very open,No,Not applicable,Yes,Never
1025,6-25,1,Yes,I am not sure,No,No,I don't know,I don't know,Maybe,No,No,No,I don't know,0,1,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,No,Somewhat open,No,Not applicable,Yes,Sometimes
1026,1-5,0,No,Not applicable,No,I don't know,No,Very difficult,Yes,Maybe,No,No,No,0,1,"No, none did","No, I only became aware later",None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",No,No,Somewhat not open,"Yes, I observed",Yes,Yes,Sometimes
1027,6-25,0,I don't know,No,No,No,I don't know,Very difficult,Yes,Yes,Maybe,Yes,I don't know,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,"Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Somewhat open,"Yes, I experienced",Maybe,Yes,Sometimes
1028,More than 1000,1,No,Not applicable,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Yes,No,Very open,No,Not applicable,Yes,Sometimes
1029,More than 1000,0,I don't know,I am not sure,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,No,No,0,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Somewhat not open,"Yes, I experienced",No,I don't know,Sometimes
1030,More than 1000,0,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,No,No,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Maybe,Somewhat open,Maybe/Not sure,Maybe,No,Sometimes
1031,500-1000,1,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,No,0,1,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Very open,Maybe/Not sure,No,Yes,Sometimes
1032,100-500,0,Yes,No,No,No,Yes,I don't know,Yes,Yes,No,No,No,1,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them",Some of my previous employers,"No, at none of my previous employers",None did,Some of them,No,No,Somewhat not open,"Yes, I observed",Yes,Yes,Never
